species,development,scanned area,lenght,width
maize,fd,"12,2","15,30","1,1"
maize,fd,"34,6","30,10","1,5"
maize,fd,"75,76","55,90","2,5"
maize,fd,"151,6","60,10","3,6"
maize,fd,"14,25","16,20","1,1"
maize,fd,"37,7","33,30","1,3"
maize,fd,"77,6","48,20","2,4"
maize,fd,"160,3","61,00","3,5"
maize,fd,"13,3","16,60",1
maize,fd,"42,35","33,00","1,5"
maize,fd,"85,9","48,70","2,5"
maize,fd,"12,6","16,80","1,1"
maize,fd,"35,8","34,10","1,1"
maize,fd,"87,6","48,70","2,4"
sorghum,fd,"17,65","20,2","1,40"
sorghum,fd,"21,45","22,6","1,90"
sorghum,fd,"26,45","27,4","1,95"
sorghum,fd,"13,3","17,65","1,10"
sorghum,fd,"18,8","22,6","1,20"
sorghum,fd,"24,8","27,3","1,25"
sorghum,fd,"45,7","35,2","2,00"
sorghum,fd,"66,75",43,"2,20"
sorghum,fd,"89,95","50,9","2,60"
sorghum,fd,"124,85","55,4","3,20"
sorghum,fd,"34,9","31,5","1,50"
sorghum,fd,"50,7","39,5","1,50"
sorghum,fd,"81,55",47,"2,60"
sorghum,fd,"107,85","51,6","3,10"
sorghum,fd,"56,6","41,2","1,35"
sorghum,fd,"61,1","37,2","1,80"
sorghum,fd,"59,3","40,8","1,40"
sorghum,fd,"65,67","37,7","1,95"
sorghum,fd,"81,2","37,5","2,50"
sorghum,fd,"82,9","35,1","3,30"
sorghum,fd,"134,05","51,2","2,60"
maize,nd,"245,3","76,0","3,7"
maize,nd,"244,2","62,5","5,8"
maize,nd,"131,7","36,9","5,75"
maize,nd,"20,8","14,0","3,1"
maize,nd,"256,00","74,6","3,1"
maize,nd,"220,50","54,9","5,4"
maize,nd,"83,80","29,0","5,3"
maize,nd,"165,40","59,4","3,55"
maize,nd,"136,40","44,1","3,95"
maize,nd,"49,00","22,5",4
maize,nd,"175,30","57,9","4,45"
maize,nd,"171,20","50,4","4,3"
maize,nd,"75,90","27,8","4,9"
maize,nd,"411,5","78,35","7,10"
maize,nd,"273,7","55,5","7,40"
maize,nd,"120,2","33,1","6,10"
maize,nd,"440,2","79,9","5,90"
maize,nd,"283,5","58,6","7,30"
maize,nd,"119,3","33,15","6,40"
maize,nd,"369,6","86,9","5,75"
maize,nd,"394,3","80,05","6,50"
maize,nd,"270,1","56,3","7,30"
maize,nd,"101,9","30,2","5,95"
maize,nd,"370,9","87,4","4,50"
maize,nd,"347,9","74,3","6,45"
maize,nd,"198,6","46,4","7,05"
maize,nd,"56,4","22,5","4,55"
sorghum,nd,"31,75","31,1","1,05"
sorghum,nd,"30,4","26,85","1,90"
sorghum,nd,"30,65","28,5","1,05"
sorghum,nd,"20,55","18,7","1,90"
sorghum,nd,"119,95","46,4","3,70"
sorghum,nd,"39,3","22,8","2,85"
sorghum,nd,"93,05","38,3","3,20"
sorghum,nd,"24,77","18,35","2,30"
sorghum,nd,"153,9","37,3","3,4"
sorghum,nd,"86,1","34,9",4
sorghum,nd,"52,45","29,5","2,7"
sorghum,nd,"44,63",25,"2,8"
sorghum,nd,"46,55","22,9","3,3"
sorghum,nd,"168,4","60,5","3,2"
sorghum,nd,"129,6","44,4","4,3"
sorghum,nd,"40,05","23,5","2,95"
