date,thermal time,days after sowing
18/10,0,0
21/10,0,1
23/10,"0,00",2
24/10,"11,83",3
25/10,"23,67",4
26/10,"35,50",5
27/10,"47,33",6
28/10,"59,17",7
29/10,"71,00",8
30/10,"82,83",9
31/10,"94,67",10
1/11,"106,50",11
2/11,"118,33",12
3/11,"130,17",13
4/11,"142,00",14
5/11,"153,83",15
6/11,"165,67",16
7/11,"177,50",17
8/11,"189,33",18
9/11,"201,17",19
10/11,"213,00",20
11/11,"224,83",21
12/11,"236,67",22
13/11,"248,50",23
14/11,"260,33",24
15/11,"272,17",25
16/11,"284,00",26
17/11,"295,83",27
18/11,"307,67",28
19/11,"319,50",29
20/11,"331,33",30
21/11,"343,17",31
22/11,"355,00",32
23/11,"366,83",33
24/11,"378,67",34
25/11,"390,50",35
26/11,"402,33",36
27/11,"414,17",37
28/11,"426,00",38
29/11,"437,83",39
30/11,"449,67",40
1/12,"461,50",41
2/12,"473,33",42
3/12,"485,17",43
4/12,"497,00",44
5/12,"508,83",45
6/12,"520,67",46
7/12,"532,50",47
8/12,"544,33",48
9/12,"556,17",49
10/12,"568,00",50
11/12,"579,83",51
